#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,31,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T00:28:43.744501251Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T00:28:43.677987447Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,326dc835-ea16-4c89-9f38-b830dbaeae5a,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T00:28:34.545810400Z
,,32,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T01:28:43.7313232Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T01:28:43.666170351Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,dac8368b-50fd-4afb-bdc7-936b5820349c,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T01:28:34.545806699Z
,,33,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T02:28:43.724929209Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T02:28:43.664156878Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,98b63bf0-e119-4b42-bdf4-483cc2646e2e,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T02:28:34.545905950Z
,,34,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T03:28:43.733067734Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T03:28:43.663556928Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,1ab464d4-f87e-4226-b816-0161c9a3b04c,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T03:28:34.545734084Z
,,35,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T04:28:43.72648283Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T04:28:43.661707382Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,957ff98c-8515-4ea5-b7b8-cf5a179ea1d2,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T04:28:34.545738776Z
,,36,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T05:28:43.731850526Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T05:28:43.663554504Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,8c43ca07-c64c-4397-adb7-971d883365ff,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T05:28:34.545806926Z
,,37,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T06:28:43.734452344Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T06:28:43.669098598Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,749d50f0-2057-49ab-9c1c-74f47d7827fd,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T06:28:34.545746689Z
,,38,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T07:28:43.779070193Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T07:28:43.713228551Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,e26cbb35-0778-4c56-ab30-dab08b570e28,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T07:28:34.546232186Z
,,39,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T08:28:43.721323859Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T08:28:43.658061249Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,bb1f8c60-b3ea-4d4d-bd2d-b2a22490c0a1,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T08:28:34.545736337Z
,,40,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T09:28:43.723239743Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T09:28:43.661670292Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,9f5fd18a-986e-4765-8b53-f58e7acd12c2,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T09:28:34.545792521Z
,,41,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T10:28:43.724797204Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T10:28:43.662016401Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,3d3c57e0-ad55-4e1b-8553-a23c66d4bc33,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T10:28:34.545908249Z
,,42,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T11:28:43.728529893Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T11:28:43.665800932Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,01073ad3-a907-4bde-9a49-9b5aeb5389e4,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T11:28:34.545840429Z
,,43,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T12:28:43.731139547Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T12:28:43.669160926Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,6282fbb5-a91a-4fd7-89d3-10b63ec30856,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T12:28:34.545799467Z
,,44,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T13:28:43.731597695Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T13:28:43.666102271Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,fe8ce034-b1d9-43e0-8d1b-2f8b582a0e0b,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T13:28:34.545823741Z
,,45,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T14:28:43.72623611Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T14:28:43.664723520Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,697bb5f9-d0d2-47fe-950b-d46eee2966f0,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T14:28:34.545808957Z
,,46,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T15:28:43.724229772Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T15:28:43.663846061Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,35815b7d-0476-40f6-bcb9-e35f929b8eca,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T15:28:34.545739224Z
,,47,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T16:28:43.727326985Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T16:28:43.664279904Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,4db920c8-18f4-4ddd-9d16-2fd791c8cece,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T16:28:34.545736529Z
,,48,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T17:28:43.769338632Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T17:28:43.662574940Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,c79eb7d9-91da-4526-aa06-0afaf55b990d,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T17:28:34.545743400Z
,,49,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T18:28:43.735366021Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-03T18:28:43.665518123Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,652529d8-8733-41c7-ba04-5a93d5d6ec64,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-03T18:28:34.545798520Z
