#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,31,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T04:23:48.608212971Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T04:23:48.571664491Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,f119f78d-276d-4526-a0b0-656d85ef5224,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T04:23:43.358926324Z
,,32,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T05:23:48.601992744Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T05:23:48.566485200Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,cc4694ec-149e-4f91-982d-f4948918b064,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T05:23:43.358914880Z
,,33,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T05:23:48.601992744Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T05:23:48.566485200Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,cc4694ec-149e-4f91-982d-f4948918b064,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T05:23:43.358914880Z
,,34,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T06:23:48.949037288Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T06:23:48.909304249Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,7e0c1460-ff03-4027-b491-17e4a186bc70,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T06:23:43.693131407Z
,,35,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T06:23:48.949037288Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T06:23:48.909304249Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,7e0c1460-ff03-4027-b491-17e4a186bc70,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T06:23:43.693131407Z
,,36,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T07:23:48.921775569Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T07:23:48.886355547Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,04a7176c-38bb-4a1a-9a65-74a41ac79aff,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T07:23:43.693069823Z
,,37,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T07:23:48.921775569Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T07:23:48.886355547Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,04a7176c-38bb-4a1a-9a65-74a41ac79aff,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T07:23:43.693069823Z
,,38,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T08:23:48.917078573Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T08:23:48.881574377Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,43e6aa03-a924-4444-8084-f6747f7b92af,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T08:23:43.693224390Z
,,39,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T08:23:48.917078573Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T08:23:48.881574377Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,43e6aa03-a924-4444-8084-f6747f7b92af,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T08:23:43.693224390Z
,,40,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T09:23:48.944303098Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T09:23:48.908480835Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,dd8a492b-6233-475c-a979-9e17200928a4,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T09:23:43.693179192Z
,,41,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T09:23:48.944303098Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T09:23:48.908480835Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,dd8a492b-6233-475c-a979-9e17200928a4,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T09:23:43.693179192Z
,,42,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T10:23:48.920253867Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T10:23:48.883700749Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,30e00efc-ce77-49d6-bccb-816a0e6814ce,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T10:23:43.693139413Z
