#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,37,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T20:17:37.37675595Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T20:17:37.155495069Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,7d0fe5b4-7e7f-4851-acf1-1cf17c7131c7,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T20:17:27.327017024Z
,,38,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T21:17:37.057012102Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T21:17:36.965376364Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,92622d90-8341-41ed-a995-dd6c433715bc,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T21:17:27.327008225Z
,,39,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T22:17:37.252012538Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T22:17:37.163136850Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,3e726327-6283-4e87-a26f-89ea0be270a3,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T22:17:27.327067722Z
,,40,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T23:17:37.605085005Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T23:17:37.503682855Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,5bd8e182-d999-49cf-b40c-f40f695fcce5,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T23:17:27.327019974Z
,,41,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T00:17:37.251469931Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T00:17:37.162607905Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,e71149f4-ccc9-4a84-be84-de75fa319728,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T00:17:27.326995894Z
,,42,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T01:17:36.822661082Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T01:17:36.732728198Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,7a9e78ae-5895-4614-956d-bbb07ead564d,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T01:17:27.327013299Z
,,43,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T02:17:37.743145784Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T02:17:37.655030612Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,9871ee08-4348-4eb1-a454-5c0621af5a81,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T02:17:27.326984204Z
,,44,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T03:17:36.76736073Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T03:17:36.674760681Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,27874e07-1be3-454e-aa95-6de6a38ac50a,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T03:17:27.327045796Z
,,45,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T04:17:36.9364097Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T04:17:36.845709491Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,8a96db05-88ad-451d-a59e-c20e47c5a522,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T04:17:27.326980381Z
,,46,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T05:17:37.260871361Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-17T05:17:37.171063366Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,2a3436ee-a648-422c-84ae-e22176fb9002,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-17T05:17:27.326996117Z
