#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,33,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T05:31:47.127258924Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T05:31:47.092605347Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,8cce127c-fbaf-4972-81ae-5eb43c5742a1,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T05:31:41.926666808Z
,,34,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T06:31:47.460933483Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T06:31:47.423867080Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ce524a6a-c79b-4dd7-85c7-92dd88d6c70e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T06:31:42.260898932Z
,,35,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T06:31:47.460933483Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T06:31:47.423867080Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ce524a6a-c79b-4dd7-85c7-92dd88d6c70e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T06:31:42.260898932Z
,,36,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T07:31:47.485842941Z,64.4,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T07:31:47.449295351Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,dc7ac78f-3a95-485d-8d06-c1a9467f2383,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T07:31:42.261005948Z
,,37,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T07:31:47.485842941Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T07:31:47.449295351Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,dc7ac78f-3a95-485d-8d06-c1a9467f2383,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T07:31:42.261005948Z
,,38,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T08:31:47.485005161Z,64.4,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T08:31:47.450936816Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,fd990124-1f46-45a3-ae0c-95c3816eae73,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T08:31:42.260884984Z
,,39,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T08:31:47.485005161Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T08:31:47.450936816Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,fd990124-1f46-45a3-ae0c-95c3816eae73,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T08:31:42.260884984Z
,,40,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T09:31:47.467199398Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T09:31:47.428946471Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,7752c9de-fd72-4b25-97a3-add56247cc9d,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T09:31:42.261010268Z
,,41,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T09:31:47.467199398Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T09:31:47.428946471Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,7752c9de-fd72-4b25-97a3-add56247cc9d,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T09:31:42.261010268Z
,,42,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T10:31:47.489878181Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T10:31:47.454690107Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,8a90c412-bcca-4502-91e6-c632fcdc8b78,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T10:31:42.260960399Z
,,43,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T10:31:47.489878181Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T10:31:47.454690107Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,8a90c412-bcca-4502-91e6-c632fcdc8b78,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T10:31:42.260960399Z
,,44,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T11:31:47.461060378Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T11:31:47.425683611Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ee047c19-db34-4028-9ba9-433f93beb70a,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T11:31:42.260889774Z
,,45,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T11:31:47.461060378Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T11:31:47.425683611Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ee047c19-db34-4028-9ba9-433f93beb70a,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T11:31:42.260889774Z
,,46,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T12:31:47.486787568Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T12:31:47.451099030Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,08b21704-1607-4c20-82b5-e838c0aee7c9,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T12:31:42.260842354Z
,,47,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T12:31:47.486787568Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T12:31:47.451099030Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,08b21704-1607-4c20-82b5-e838c0aee7c9,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T12:31:42.260842354Z
,,48,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T13:31:47.596116331Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T13:31:47.426286031Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,8cfebc68-7b24-49c6-beff-f08ad624a124,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T13:31:42.260900775Z
