#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,requestType,requestUUID,resource,sourceHost,timestamp,unit
,,41,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:32:24.709132619Z,9.291551,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,755b34ea-b263-4d0d-8387-cc649d2e6acf,/temperature,gateway1-edge-iot-simulator,1712190744654933551,ms
,,42,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:44:24.239020299Z,8.619869,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,75cc5479-fdb8-46a9-a1e3-23d16ed1d123,/temperature,gateway1-edge-iot-simulator,1712187864187092271,ms
,,43,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:13:24.522624166Z,8.84748,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,75d35f1f-c84e-4469-b749-33d12ac604dc,/temperature,gateway1-edge-iot-simulator,1712189604471399740,ms
,,44,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:29:24.092424482Z,9.080641,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,769eb6dd-f9d8-4bfb-822f-3363552d9e58,/temperature,gateway1-edge-iot-simulator,1712186964039922802,ms
,,45,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:22:24.613517721Z,9.264683,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,781d0b64-caa0-475d-b737-924682ae5894,/temperature,gateway1-edge-iot-simulator,1712190144559180026,ms
,,46,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:47:24.848943968Z,8.809813,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,7982b0eb-dd58-4fd6-ad6c-d4bb85f59c33,/temperature,gateway1-edge-iot-simulator,1712191644798667288,ms
,,47,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:03:24.427203165Z,10.632389,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,7b31d01c-4337-485a-b270-a96e82ef8147,/temperature,gateway1-edge-iot-simulator,1712189004372486507,ms
,,48,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:38:24.763331282Z,8.787085,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,8066527d-3acc-40bd-a3e9-08310d109ed2,/temperature,gateway1-edge-iot-simulator,1712191104711398700,ms
,,49,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:57:24.366425334Z,9.337586,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,894c7cd4-4687-4e4f-9b2f-f639787bcdde,/temperature,gateway1-edge-iot-simulator,1712188644312955479,ms
,,50,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:30:24.100105817Z,9.080634,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,8fac7eb8-0c61-47a2-8b52-1acd9eef4e80,/temperature,gateway1-edge-iot-simulator,1712187024049433546,ms
